county,name,sexcode,sex,agegrpcode,agegrp,yr_2010,yr_2015,yr_2020,yr_2025,yr_2030,yr_2035,yr_2040
7,Broome County,1,Male,3,10-14,5986,5850,5985,6267,6357,6266,6142
7,Broome County,1,Male,4,15-19,8085,6957,6929,7057,7313,7383,7310
7,Broome County,1,Male,5,20-24,9415,9576,8603,8671,8802,9022,9069
7,Broome County,1,Male,6,25-29,6402,7716,7777,6993,7029,7086,7200
7,Broome County,1,Male,7,30-34,5329,6078,7052,7026,6344,6384,6430
7,Broome County,1,Male,8,35-39,5061,5331,5981,6728,6664,6053,6104
7,Broome County,1,Male,9,40-44,5982,5154,5386,5950,6556,6479,5917
7,Broome County,1,Male,10,45-49,7365,5946,5205,5387,5893,6406,6327
7,Broome County,1,Male,11,50-54,7828,7150,5846,5151,5304,5771,6228
7,Broome County,1,Male,12,55-59,6730,6801,6231,5107,4503,4619,5006
7,Broome County,1,Male,13,60-64,5622,5967,6061,5568,4589,4065,4160
7,Broome County,1,Male,14,65-69,3961,5023,5341,5436,5007,4147,3688
7,Broome County,1,Male,15,70-74,3172,3378,4282,4558,4658,4314,3606
7,Broome County,1,Male,16,75-79,2619,2532,2715,3440,3669,3768,3511
7,Broome County,1,Male,17,80-84,2119,1769,1718,1849,2343,2505,2584
7,Broome County,1,Male,18,85+,1680,1923,1891,1874,1973,2326,2646
7,Broome County,2,Female,1,0-4,5062,5501,5661,5573,5410,5314,5281
7,Broome County,2,Female,2,5-9,5158,5241,5614,5712,5608,5457,5372
7,Broome County,2,Female,3,10-14,5725,5303,5381,5678,5731,5622,5484
7,Broome County,2,Female,4,15-19,7641,6847,6582,6645,6887,6906,6800
7,Broome County,2,Female,5,20-24,8535,8473,7722,7599,7622,7756,7713
7,Broome County,2,Female,6,25-29,6051,6899,6784,6131,6032,6001,6034
7,Broome County,2,Female,7,30-34,5202,5982,6608,6443,5834,5775,5748
7,Broome County,2,Female,8,35-39,5116,5182,5831,6295,6112,5551,5514
7,Broome County,2,Female,9,40-44,6052,5094,5138,5693,6072,5889,5362
7,Broome County,2,Female,10,45-49,7600,5954,5078,5089,5574,5891,5715
7,Broome County,2,Female,11,50-54,7943,7194,5686,4872,4862,5293,5567
7,Broome County,2,Female,12,55-59,6830,7366,6701,5328,4587,4564,4942
7,Broome County,2,Female,13,60-64,6019,6226,6703,6098,4864,4197,4168
7,Broome County,2,Female,14,65-69,4596,5570,5776,6204,5661,4550,3951
7,Broome County,2,Female,15,70-74,3939,4170,5060,5254,5637,5160,4175
7,Broome County,2,Female,16,75-79,3527,3497,3724,4522,4708,5053,4648
7,Broome County,2,Female,17,80-84,3274,2867,2859,3070,3738,3914,4209
7,Broome County,2,Female,18,85+,3957,4003,3831,3755,3875,4372,4814
9,Cattaraugus County,1,Male,1,0-4,2523,2310,2247,2131,2015,1912,1812
9,Cattaraugus County,1,Male,2,5-9,2565,2661,2478,2406,2293,2179,2083
9,Cattaraugus County,1,Male,3,10-14,2754,2706,2782,2617,2538,2423,2311
9,Cattaraugus County,1,Male,4,15-19,3031,2914,2877,2920,2777,2687,2567
9,Cattaraugus County,1,Male,5,20-24,2682,2625,2438,2389,2371,2257,2152
9,Cattaraugus County,1,Male,6,25-29,2223,2117,2030,1838,1789,1741,1648
9,Cattaraugus County,1,Male,7,30-34,2065,2036,1947,1850,1665,1622,1572
9,Cattaraugus County,1,Male,8,35-39,2123,1989,1974,1892,1794,1612,1575
9,Cattaraugus County,1,Male,9,40-44,2531,2244,2120,2114,2038,1936,1744
9,Cattaraugus County,1,Male,10,45-49,2975,2400,2132,2014,2009,1934,1833
9,Cattaraugus County,1,Male,11,50-54,3200,2865,2330,2075,1964,1962,1891
9,Cattaraugus County,1,Male,12,55-59,3010,2872,2580,2108,1877,1775,1770
9,Cattaraugus County,1,Male,13,60-64,2532,2816,2710,2447,2015,1799,1706
9,Cattaraugus County,1,Male,14,65-69,1803,2279,2523,2442,2214,1830,1637
9,Cattaraugus County,1,Male,15,70-74,1369,1501,1890,2084,2023,1838,1524
9,Cattaraugus County,1,Male,16,75-79,1019,1094,1204,1513,1666,1626,1484
9,Cattaraugus County,1,Male,17,80-84,779,689,740,815,1025,1128,1108
9,Cattaraugus County,1,Male,18,85+,545,644,651,679,739,880,1007
9,Cattaraugus County,2,Female,1,0-4,2519,2205,2144,2034,1923,1825,1729
9,Cattaraugus County,2,Female,2,5-9,2420,2485,2220,2148,2038,1927,1829
9,Cattaraugus County,2,Female,3,10-14,2586,2434,2476,2243,2162,2047,1936
9,Cattaraugus County,2,Female,4,15-19,2887,2585,2468,2472,2283,2186,2065
9,Cattaraugus County,2,Female,5,20-24,2570,2549,2265,2179,2139,1998,1885
9,Cattaraugus County,2,Female,6,25-29,2167,2207,2146,1893,1823,1765,1649
9,Cattaraugus County,2,Female,7,30-34,2070,2126,2139,2056,1818,1754,1691
9,Cattaraugus County,2,Female,8,35-39,2276,2136,2185,2180,2087,1848,1787
9,Cattaraugus County,2,Female,9,40-44,2537,2284,2146,2184,2166,2063,1828
9,Cattaraugus County,2,Female,10,45-49,2935,2485,2237,2101,2130,2103,1996
9,Cattaraugus County,2,Female,11,50-54,3246,2757,2334,2097,1966,1984,1951
9,Cattaraugus County,2,Female,12,55-59,2978,3049,2607,2207,1981,1855,1866
9,Cattaraugus County,2,Female,13,60-64,2493,2746,2809,2417,2045,1831,1713
9,Cattaraugus County,2,Female,14,65-69,1877,2291,2515,2571,2222,1880,1682
9,Cattaraugus County,2,Female,15,70-74,1489,1594,1942,2122,2166,1875,1584
9,Cattaraugus County,2,Female,16,75-79,1323,1259,1352,1646,1792,1828,1593
9,Cattaraugus County,2,Female,17,80-84,1069,1058,1012,1095,1333,1448,1479
9,Cattaraugus County,2,Female,18,85+,1146,1287,1354,1368,1435,1626,1813
11,Cayuga County,1,Male,1,0-4,2215,2130,2035,1901,1774,1675,1593
11,Cayuga County,1,Male,2,5-9,2344,2234,2149,2052,1925,1803,1706
11,Cayuga County,1,Male,3,10-14,2636,2362,2255,2172,2074,1948,1830
11,Cayuga County,1,Male,4,15-19,2828,2263,2034,1936,1856,1759,1644
11,Cayuga County,1,Male,5,20-24,2625,2336,1896,1733,1651,1575,1481
11,Cayuga County,1,Male,6,25-29,2712,2603,2345,1962,1846,1770,1695
11,Cayuga County,1,Male,7,30-34,2488,2953,2839,2596,2226,2129,2050
11,Cayuga County,1,Male,8,35-39,2567,2737,3147,3033,2794,2419,2330
11,Cayuga County,1,Male,9,40-44,2985,2643,2773,3133,3021,2787,2422
11,Cayuga County,1,Male,10,45-49,3369,2906,2573,2675,2990,2880,2654
11,Cayuga County,1,Male,11,50-54,3322,3298,2843,2521,2599,2873,2762
11,Cayuga County,1,Male,12,55-59,2984,3204,3165,2729,2420,2480,2719
11,Cayuga County,1,Male,13,60-64,2436,2736,2924,2876,2476,2194,2232
11,Cayuga County,1,Male,14,65-69,1770,2117,2357,2509,2452,2107,1864
11,Cayuga County,1,Male,15,70-74,1247,1506,1800,1993,2116,2061,1770
11,Cayuga County,1,Male,16,75-79,971,932,1118,1334,1471,1556,1510
11,Cayuga County,1,Male,17,80-84,692,671,647,771,922,1014,1072
11,Cayuga County,1,Male,18,85+,642,666,669,664,730,847,960
11,Cayuga County,2,Female,1,0-4,2047,2023,1932,1805,1685,1591,1513
11,Cayuga County,2,Female,2,5-9,2219,2093,2064,1970,1846,1732,1641
11,Cayuga County,2,Female,3,10-14,2488,2254,2137,2102,2004,1884,1774
11,Cayuga County,2,Female,4,15-19,2715,2538,2340,2230,2188,2085,1967
11,Cayuga County,2,Female,5,20-24,2153,2045,1864,1730,1636,1577,1480
11,Cayuga County,2,Female,6,25-29,2221,1980,1867,1684,1588,1510,1451
11,Cayuga County,2,Female,7,30-34,2003,2331,2125,2005,1806,1729,1654
11,Cayuga County,2,Female,8,35-39,2144,2076,2363,2173,2050,1846,1776
11,Cayuga County,2,Female,9,40-44,2632,2170,2098,2345,2169,2045,1841
11,Cayuga County,2,Female,10,45-49,3154,2549,2115,2039,2253,2090,1967
11,Cayuga County,2,Female,11,50-54,3287,3091,2510,2096,2017,2207,2053
11,Cayuga County,2,Female,12,55-59,2826,3102,2914,2372,1989,1909,2069
11,Cayuga County,2,Female,13,60-64,2391,2723,2975,2793,2281,1924,1843
11,Cayuga County,2,Female,14,65-69,1802,2191,2484,2703,2533,2071,1749
11,Cayuga County,2,Female,15,70-74,1373,1635,1984,2238,2427,2272,1861
11,Cayuga County,2,Female,16,75-79,1149,1162,1379,1670,1874,2022,1890
11,Cayuga County,2,Female,17,80-84,1157,949,960,1135,1373,1532,1646
11,Cayuga County,2,Female,18,85+,1432,1391,1266,1210,1281,1456,1642
13,Chautauqua County,1,Male,1,0-4,3862,3696,3634,3466,3290,3153,3042
13,Chautauqua County,1,Male,2,5-9,4055,3960,3806,3727,3558,3386,3252
13,Chautauqua County,1,Male,3,10-14,4389,4021,3929,3779,3689,3523,3354
13,Chautauqua County,1,Male,4,15-19,5419,4604,4297,4201,4060,3953,3781
13,Chautauqua County,1,Male,5,20-24,5198,4915,4237,4019,3920,3794,3661
13,Chautauqua County,1,Male,6,25-29,3717,4431,4172,3607,3446,3348,3230
13,Chautauqua County,1,Male,7,30-34,3331,3756,4306,4049,3525,3391,3294
13,Chautauqua County,1,Male,8,35-39,3633,3553,3936,4389,4133,3623,3504
13,Chautauqua County,1,Male,9,40-44,4113,3613,3528,3864,4241,3994,3509
13,Chautauqua County,1,Male,10,45-49,4910,3986,3512,3419,3715,4032,3796
13,Chautauqua County,1,Male,11,50-54,5253,4871,3980,3517,3421,3696,3979
13,Chautauqua County,1,Male,12,55-59,4987,5031,4674,3838,3399,3302,3548
13,Chautauqua County,1,Male,13,60-64,4007,4595,4643,4314,3558,3154,3061
13,Chautauqua County,1,Male,14,65-69,3034,3511,4006,4048,3760,3108,2758
13,Chautauqua County,1,Male,15,70-74,2247,2554,2962,3362,3402,3162,2622
13,Chautauqua County,1,Male,16,75-79,1838,1722,1957,2268,2568,2598,2414
13,Chautauqua County,1,Male,17,80-84,1405,1199,1129,1285,1495,1686,1713
13,Chautauqua County,1,Male,18,85+,1111,1144,1071,1010,1060,1188,1340
13,Chautauqua County,2,Female,1,0-4,3706,3525,3466,3306,3138,3008,2902
13,Chautauqua County,2,Female,2,5-9,3875,3839,3670,3592,3431,3268,3143
13,Chautauqua County,2,Female,3,10-14,4094,3875,3833,3668,3580,3420,3264
13,Chautauqua County,2,Female,4,15-19,5201,4562,4384,4325,4173,4066,3902
13,Chautauqua County,2,Female,5,20-24,4915,4746,4182,4048,3968,3841,3712
13,Chautauqua County,2,Female,6,25-29,3582,4032,3847,3372,3264,3174,3061
13,Chautauqua County,2,Female,7,30-34,3355,3470,3812,3622,3183,3090,3006
13,Chautauqua County,2,Female,8,35-39,3670,3338,3437,3707,3520,3103,3022
13,Chautauqua County,2,Female,9,40-44,4078,3765,3446,3534,3769,3581,3171
13,Chautauqua County,2,Female,10,45-49,5002,3985,3673,3368,3447,3645,3461
13,Chautauqua County,2,Female,11,50-54,5194,4821,3864,3551,3266,3335,3499
13,Chautauqua County,2,Female,12,55-59,4838,5007,4652,3746,3438,3171,3234
13,Chautauqua County,2,Female,13,60-64,4140,4702,4867,4526,3668,3364,3115
13,Chautauqua County,2,Female,14,65-69,3273,3845,4346,4492,4178,3400,3115
13,Chautauqua County,2,Female,15,70-74,2571,2907,3416,3842,3969,3693,3015
13,Chautauqua County,2,Female,16,75-79,2342,2207,2494,2935,3291,3401,3168
13,Chautauqua County,2,Female,17,80-84,2127,1790,1691,1910,2251,2515,2600
13,Chautauqua County,2,Female,18,85+,2433,2387,2197,2055,2110,2338,2611
15,Chemung County,1,Male,1,0-4,2684,2676,2678,2614,2532,2465,2413
15,Chemung County,1,Male,2,5-9,2845,2521,2504,2483,2410,2330,2267
15,Chemung County,1,Male,3,10-14,2831,2766,2483,2459,2425,2349,2274
15,Chemung County,1,Male,4,15-19,3013,2688,2628,2382,2352,2310,2234
15,Chemung County,1,Male,5,20-24,2812,2778,2476,2429,2257,2220,2167
15,Chemung County,1,Male,6,25-29,2780,2758,2686,2397,2358,2239,2206
15,Chemung County,1,Male,7,30-34,2760,2877,2844,2747,2458,2431,2344
15,Chemung County,1,Male,8,35-39,2697,2872,2980,2941,2831,2543,2526
15,Chemung County,1,Male,9,40-44,3060,2849,2987,3090,3044,2930,2641
15,Chemung County,1,Male,10,45-49,3468,2978,2766,2875,2963,2915,2804
15,Chemung County,1,Male,11,50-54,3504,3256,2798,2593,2675,2749,2701
15,Chemung County,1,Male,12,55-59,3122,3142,2918,2506,2315,2372,2433
15,Chemung County,1,Male,13,60-64,2651,2856,2881,2677,2301,2123,2166
15,Chemung County,1,Male,14,65-69,1786,2253,2422,2445,2270,1952,1798
15,Chemung County,1,Male,15,70-74,1415,1536,1935,2080,2104,1958,1688
15,Chemung County,1,Male,16,75-79,1128,1168,1274,1602,1724,1753,1638
15,Chemung County,1,Male,17,80-84,913,737,763,834,1046,1125,1150
15,Chemung County,1,Male,18,85+,702,663,577,552,572,669,743
15,Chemung County,2,Female,1,0-4,2591,2553,2555,2492,2415,2350,2301
15,Chemung County,2,Female,2,5-9,2677,2525,2493,2479,2410,2334,2274
15,Chemung County,2,Female,3,10-14,2670,2685,2553,2520,2497,2424,2351
15,Chemung County,2,Female,4,15-19,2972,2683,2702,2586,2551,2514,2442
15,Chemung County,2,Female,5,20-24,2721,2833,2565,2579,2496,2454,2402
15,Chemung County,2,Female,6,25-29,2548,2582,2622,2370,2375,2307,2268
15,Chemung County,2,Female,7,30-34,2383,2651,2677,2681,2430,2435,2378
15,Chemung County,2,Female,8,35-39,2441,2312,2534,2547,2526,2288,2290
15,Chemung County,2,Female,9,40-44,2758,2514,2393,2592,2595,2561,2327
15,Chemung County,2,Female,10,45-49,3381,2726,2486,2371,2551,2548,2508
15,Chemung County,2,Female,11,50-54,3568,3185,2585,2356,2245,2399,2393
15,Chemung County,2,Female,12,55-59,3205,3329,2983,2431,2215,2109,2244
15,Chemung County,2,Female,13,60-64,2745,2939,3051,2740,2239,2038,1940
15,Chemung County,2,Female,14,65-69,2044,2399,2566,2660,2388,1953,1774
15,Chemung County,2,Female,15,70-74,1596,1833,2156,2305,2391,2153,1769
15,Chemung County,2,Female,16,75-79,1462,1395,1603,1891,2020,2100,1904
15,Chemung County,2,Female,17,80-84,1359,1104,1056,1213,1433,1531,1591
